Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,,
47,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,9,,,,,,,,,,,Simple,,,,
48,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,10,,,,,,,,,,,Simple,,,,
49,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,11,,,,,,,,,,,Simple,,,,
50,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,12,,,,,,,,,,,Simple,,,,
51,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,13,,,,,,,,,,,Simple,,,,
52,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,14,,,,,,,,,,,Simple,,,,
53,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,15,,,,,,,,,,,Simple,,,,
54,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,16,,,,,,,,,,,Simple,,,,
55,23,8,2007,Gpaulin,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,17,,,,,,,,,,,Simple,,,,
56,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,1,,,,,,,,,,,Simple,,,,
57,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,2,m,85,,,,,,,,,Simple,,,,
58,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,3,,,,,,,,,,,Simple,,,,
59,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,4,f,75,,,,,,,,,Simple,,,,
60,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,5,,,,,,,,,,,Simple,,,,
61,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,6,,,,,,,,,,,Simple,,,,
62,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,7,,,,,,,,,,,Simple,,,,
63,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,11,f,69,,,,,,,,,Simple,,,,
64,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,12,i,75,,,,,,,,,Simple,,,,
65,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,13,,,,,,,,,,,Simple,,,,
66,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,14,,,,,,,,,,,Simple,,,,
67,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,15,,,,,,,,,,,Simple,,,,
68,23,8,2007,Rvienneau,4552.949,6327.826,4552.962,6327.901,30,FH,L1-T2,16,,,,,,,,,,,Simple,,,,
69,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,1,,,,,,,,,,,Simple,,,,
70,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,2,,,,,,,,,,,Simple,,,,
71,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,3,,,,,,,,,,,Simple,,,,
72,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,4,,,,,,,,,,,Simple,,,,
73,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,5,,,,,,,,,,,Simple,,,,
74,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,8,,,,,,,,,,,Simple,,,,
75,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,11,m,61,,,,,,,,,Simple,,,,
76,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,13,,,,,,,,,,,Simple,,,,
77,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,14,,,,,,,,,,,Simple,,,,
78,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,15,,,,,,,,,,,Simple,,,,
79,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,16,,,,,,,,,,,Simple,,,,
80,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,17,,,,,,,,,,,Simple,,,,
81,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,18,m,45,,,,,,,,,Simple,,,,
82,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,19,,,,,,,,,,,Simple,,,,
83,23,8,2007,Bcomeau,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,20,,,,,,,,,,,Simple,,,,
84,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,1,,,,,,,,,,,Simple,,,,
85,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,2,m,76,,,,,,,,,Simple,,,,
86,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,3,m,86,,,,,,,,,Simple,,,,
87,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,4,,,,,,,,,,,Simple,,,,
88,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,5,f,93,,,,,,,,,Simple,,,,
89,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,6,,,,,,,,,,,Simple,,,,
90,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,7,,,,,,,,,,,Simple,,,,
91,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,8,,,,,,,,,,,Simple,,,,
92,23,8,2007,Dgiard,4552.86,6327.531,4552.874,6327.606,30,FH,R1-T2,11,,,,,,,,,,,Simple,,,,
93,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,5,,,,,,,,,,,Simple,,,,
94,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,11,,,,,,,,,,,Simple,,,,
95,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,12,f,75,,,,,,,,,Simple,,,,
96,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,13,,,,,,,,,,,Simple,,,,
97,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,14,,,,,,,,,,,Simple,,,,
98,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,15,,,,,,,,,,,Simple,,,,
99,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,16,,,,,,,,,,,Simple,,,,
100,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,17,,,,,,,,,,,Simple,,,,
101,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,18,,,,,,,,,,,Simple,,,,
102,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,19,,,,,,,,,,,Simple,,,,
103,21,8,2007,Gpaulin,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,20,,,,,,,,,,,Simple,,,,
104,21,8,2007,Fplante,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,13,,,,,,,,,,,Simple,,,,
105,21,8,2007,Fplante,4552.612,6326.047,4552.626,6326.122,23,FH,L3-T1,16,,,,,,,,,,,Simple,,,,
106,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,1,,,,,,,,,,,Simple,,,,
107,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,13,m,48,,,,,,,,,Simple,,,,
108,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,14,,,,,,,,,,,Simple,,,,
109,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,15,,,,,,,,,,,Simple,,,,
110,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,16,,,,,,,,,,,Simple,,,,
111,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,17,b,89,,,,,,,,,Simple,,,,
112,21,8,2007,Dgiard,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,18,,,,,,,,,,,Simple,,,,
113,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,11,,,,,,,,,,,Simple,,,,
114,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,12,,,,,,,,,,,Simple,,,,
115,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,13,,,,,,,,,,,Simple,,,,
116,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,14,,,,,,,,,,,Simple,,,,
117,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,15,,,,,,,,,,,Simple,,,,
118,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,16,,,,,,,,,,,Simple,,,,
119,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,17,,,,,,,,,,,Simple,LS,,,
120,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,18,,,,,,,,,,,Simple,,,,
121,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,19,,,,,,,,,,,Simple,,,,
122,21,8,2007,Bcomeau,4552.582,6325.883,4552.595,6325.958,23,FH,L3-T2,20,,,,,,,,,,,Simple,,,,
123,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,1,f,101,,,,,,,,,Simple,,,,
124,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,2,,,,,,,,,,,Simple,,,,
125,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,3,,,,,,,,,,,Simple,,,,
126,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,4,,,,,,,,,,,Simple,,,,
127,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,5,,,,,,,,,,,Simple,,,,
128,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,6,,,,,,,,,,,Simple,,,,
129,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,7,,,,,,,,,,,Simple,,,,
130,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,8,,,,,,,,,,,Simple,,,,
131,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,9,,,,,,,,,,,Simple,,,,
132,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,14,,,,,,,,,,,Simple,,,,
133,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,15,,,,,,,,,,,Simple,,,,
134,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,16,,,,,,,,,,,Simple,,,,
135,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,17,,,,,,,,,,,Simple,,,,
136,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,18,,,,,,,,,,,Simple,,,,
137,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,19,,,,,,,,,,,Simple,,,,
138,21,8,2007,Rvienneau,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,20,,,,,,,,,,,Simple,,,,
139,21,8,2007,Gpaulin,4552.551,6325.712,4552.564,6325.787,27,FH,L3-T3,1,,,,,,,,,,,Simple,,,,
